"method","leaf","rule","offset","stations"
"leaf2_split35_cw32_ew12_top20","17","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km <= 0.027946076 AND ocean_ratio_ring_20_50km <= 0.51162229 AND transportation_ratio_ring_0_1km <= 0.31832254 AND commercial_ratio_ring_0_1km <= 0.041723754 AND industrial_ratio_ring_1_5km > 0.0094356747 AND ndvi_mean_1km > 0.3061984 AND industrial_park_ratio_ring_1_5km > 0.030080509 AND forest_ratio_ring_0_1km <= 0.009389778","5","2"
"leaf2_split35_cw32_ew12_top20","18","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km <= 0.027946076 AND ocean_ratio_ring_20_50km <= 0.51162229 AND transportation_ratio_ring_0_1km <= 0.31832254 AND commercial_ratio_ring_0_1km <= 0.041723754 AND industrial_ratio_ring_1_5km > 0.0094356747 AND ndvi_mean_1km > 0.3061984 AND industrial_park_ratio_ring_1_5km > 0.030080509 AND forest_ratio_ring_0_1km > 0.009389778","6","3"
"leaf2_split35_cw32_ew12_top20","19","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km <= 0.027946076 AND ocean_ratio_ring_20_50km <= 0.51162229 AND transportation_ratio_ring_0_1km <= 0.31832254 AND commercial_ratio_ring_0_1km > 0.041723754 AND ndvi_seasonal_amplitude_3km <= 0.055455082","-4","2"
"leaf2_split35_cw32_ew12_top20","20","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km <= 0.027946076 AND ocean_ratio_ring_20_50km <= 0.51162229 AND transportation_ratio_ring_0_1km <= 0.31832254 AND commercial_ratio_ring_0_1km > 0.041723754 AND ndvi_seasonal_amplitude_3km > 0.055455082","1","4"
"leaf2_split35_cw32_ew12_top20","21","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km <= 0.027946076 AND ocean_ratio_ring_20_50km <= 0.51162229 AND transportation_ratio_ring_0_1km > 0.31832254","-10","2"
"leaf2_split35_cw32_ew12_top20","22","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km <= 0.027946076 AND ocean_ratio_ring_20_50km > 0.51162229 AND forest_ratio_ring_0_1km <= 0.0086147111","-6","3"
"leaf2_split35_cw32_ew12_top20","23","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km <= 0.027946076 AND ocean_ratio_ring_20_50km > 0.51162229 AND forest_ratio_ring_0_1km > 0.0086147111","-11","2"
"leaf2_split35_cw32_ew12_top20","24","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km > 0.027946076 AND transportation_ratio_ring_0_1km <= 0.22879997 AND forest_ratio_ring_1_5km <= 0.072641559","-6","3"
"leaf2_split35_cw32_ew12_top20","25","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km > 0.027946076 AND transportation_ratio_ring_0_1km <= 0.22879997 AND forest_ratio_ring_1_5km > 0.072641559","-13","2"
"leaf2_split35_cw32_ew12_top20","26","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km > 0.027946076 AND transportation_ratio_ring_0_1km > 0.22879997 AND industrial_ratio_ring_10_20km <= 0.038568768 AND transportation_ratio_ring_0_1km <= 0.30021581 AND transportation_ratio_ring_0_1km <= 0.26903536","6","2"
"leaf2_split35_cw32_ew12_top20","27","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km > 0.027946076 AND transportation_ratio_ring_0_1km > 0.22879997 AND industrial_ratio_ring_10_20km <= 0.038568768 AND transportation_ratio_ring_0_1km <= 0.30021581 AND transportation_ratio_ring_0_1km > 0.26903536","9","3"
"leaf2_split35_cw32_ew12_top20","28","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km > 0.027946076 AND transportation_ratio_ring_0_1km > 0.22879997 AND industrial_ratio_ring_10_20km <= 0.038568768 AND transportation_ratio_ring_0_1km > 0.30021581","-1","2"
"leaf2_split35_cw32_ew12_top20","29","transportation_ratio_ring_0_1km > 0.15737653 AND industrial_ratio_ring_10_20km > 0.027946076 AND transportation_ratio_ring_0_1km > 0.22879997 AND industrial_ratio_ring_10_20km > 0.038568768","0","2"
